"id","celebrate","main","cooked","stuffing","cranberry","gravy","brussel.sprouts","carrots","cauliflower","corn","cornbread","fruit.salad","green.beans","mac.n.cheese","mashed.potatoes","rolls","squash","salad","yams.sweet.potato","apple.pie","buttermilk.pie","cherry.pie","chocolate.pie","coconut.pie","keylime.pie","peach.pie","pecan.pie","pumpkin.pie","sweet.potato.pie","apple.cobbler","blondies","brownies","carrot.cake","cheesecake","cookies","fudge","ice.cream","peach.cobbler","pray","friendsgiving","black.friday","area.live","age","gender","income","DivName","celebrate01","gravy01","friendsgiving01","black.friday01","brussel.sprouts01","carrots01","cauliflower01","corn01","cornbread01","fruit.salad01","green.beans01","mac.n.cheese01","mashed.potatoes01","rolls01","squash01","salad01","yams.sweet.potato01","apple.pie01","buttermilk.pie01","cherry.pie01","chocolate.pie01","coconut.pie01","keylime.pie01","peach.pie01","pecan.pie01","pumpkin.pie01","sweet.potato.pie01","apple.cobbler01","blondies01","brownies01","carrot.cake01","cheesecake01","cookies01","fudge01","ice.cream01","peach.cobbler01"
4337899680,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30 - 44","Male","$25,000 to $49,999","Mountain",0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4337893416,"Yes","Turkey","Baked","Bread-based","Canned","No","","","","Corn","","","","Macaroni and cheese","Mashed potatoes","Rolls/biscuits","","","","Apple","","","Chocolate","","","","Pecan","","","","","","","","","","","","Yes","No","No","Suburban","30 - 44","Male","$25,000 to $49,999","Middle Atlantic",1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4337888291,"Yes","Ham/Pork","Roasted","Bread-based","Canned","Yes","","","","Corn","Cornbread","","","","Mashed potatoes","Rolls/biscuits","","","Yams/sweet potato casserole","","","Cherry","","","","Peach","","Pumpkin","","","","","","","","","","Peach cobbler","Yes","No","No","Suburban","18 - 29","Male","$0 to $9,999","East North Central",1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
4337878450,"Yes","Turkey","Baked","Rice-based","Homemade","Yes","","","","","","","","","Mashed potatoes","Rolls/biscuits","","Vegetable salad","","Apple","","Cherry","Chocolate","","","","","Pumpkin","","","","Brownies","","","Cookies","","","","Yes","Yes","Yes","Urban","18 - 29","Male","$0 to $9,999","Middle Atlantic",1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
4337878351,"Yes","Turkey","Roasted","Bread-based","Homemade","Yes","","","","Corn","","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","Vegetable salad","Yams/sweet potato casserole","","","","Chocolate","","","","Pecan","Pumpkin","","","","","","","","","","","No","No","No","Rural","60+","Male","$50,000 to $74,999","West North Central",1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4337857295,"Yes","Turkey","Roasted","Rice-based","Canned","Yes","","","","","","","Green beans/green bean casserole","Macaroni and cheese","","","","","Yams/sweet potato casserole","","","","","","","","","","Sweet Potato","","","","Carrot cake","","","","","","Yes","Yes","No","Suburban","30 - 44","Male","$200,000 and up","Pacific",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4337856362,"Yes","Turducken","Roasted","Bread-based","Homemade","Yes","","","","Corn","Cornbread","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","Squash","","Yams/sweet potato casserole","","","Cherry","","","","","Pecan","","","","","","","","","","","","Yes","Yes","Yes","Suburban","30 - 44","Male","$200,000 and up","Pacific",1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4337854106,"Yes","Turkey","Baked","Bread-based","None","Yes","","Carrots","","Corn","","","","","Mashed potatoes","Rolls/biscuits","","Vegetable salad","","","","","","","","","","Pumpkin","","Apple cobbler","","","","","Cookies","","Ice cream","","No","Yes","Yes","Urban","18 - 29","Male","$75,000 to $99,999","East North Central",1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
4337844879,"Yes","Turkey","Baked","Bread-based","Canned","Yes","","","","","","Fruit salad","","","","","","Vegetable salad","Yams/sweet potato casserole","Apple","","","","","","","Pecan","Pumpkin","","","","","","","","","","","Yes","No","No","Suburban","30 - 44","Male","$25,000 to $49,999","Mountain",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4337823612,"Yes","Turkey","Roasted","Bread-based","Canned","Yes","","","","Corn","","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","","","Apple","","","","","","","","Pumpkin","","","","","","","","","","","Yes","No","No","Rural","30 - 44","Male","$75,000 to $99,999","East North Central",1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4337820281,"Yes","Turkey","Baked","Bread-based","Homemade","Yes","Brussel sprouts","","","Corn","Cornbread","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","","Yams/sweet potato casserole","","","","","","","","","Pumpkin","","","","","","","","","","","No","Yes","No","Urban","30 - 44","Male","$75,000 to $99,999","Pacific",1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4337813502,"Yes","Turkey","Fried","None","Homemade","Yes","","","Cauliflower","Corn","Cornbread","","","","","","","","","","Buttermilk","Cherry","Chocolate","Coconut cream","","","","","","Apple cobbler","Blondies","Brownies","","","","","","","No","Yes","Yes","Urban","18 - 29","Male","$0 to $9,999","Pacific",1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
4337809020,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18 - 29","Male","$0 to $9,999","Middle Atlantic",0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4337793158,"Yes","Turkey","Baked","Rice-based","Homemade","Yes","","Carrots","Cauliflower","","","","","","","","","","","Apple","Buttermilk","Cherry","","","","","","","","","","Brownies","","Cheesecake","","","","","Yes","No","No","Urban","18 - 29","Male","$0 to $9,999","Pacific",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4337792130,"Yes","Turkey","Baked","Bread-based","None","Yes","","","","","","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","","","","","","","","","","Pecan","Pumpkin","","","","","","","","","","Peach cobbler","Yes","Yes","Yes","Suburban","30 - 44","Female","$50,000 to $74,999","West South Central",1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
4337790002,"Yes","Turkey","Roasted","Bread-based","Homemade","Yes","Brussel sprouts","Carrots","Cauliflower","Corn","Cornbread","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","Squash","","Yams/sweet potato casserole","Apple","","Cherry","Chocolate","Coconut cream","Key lime","Peach","Pecan","Pumpkin","Sweet Potato","Apple cobbler","","Brownies","Carrot cake","Cheesecake","Cookies","Fudge","Ice cream","","No","No","No","Rural","18 - 29","Male","$200,000 and up","Middle Atlantic",1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
4337783794,"Yes","Turkey","Roasted","Bread-based","Canned","Yes","Brussel sprouts","Carrots","","","","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","","","Apple","","","","","","","","Pumpkin","","","","Brownies","","","","","","","No","No","No","Urban","30 - 44","Male","$50,000 to $74,999","South Atlantic",1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4337779071,"Yes","Turkey","Roasted","Bread-based","Canned","Yes","","","","","Cornbread","","Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","Rolls/biscuits","","","Yams/sweet potato casserole","Apple","","","","","","","","Pumpkin","","","","","","","","","Ice cream","","Yes","Yes","Yes","Suburban","18 - 29","Male","$100,000 to $124,999","East North Central",1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4337778119,"Yes","Other (please specify)","Baked","Bread-based","Homemade","Yes","Brussel sprouts","Carrots","","","","","Green beans/green bean casserole","","Mashed potatoes","","","","Yams/sweet potato casserole","Apple","","","Chocolate","","","","","Pumpkin","","","","","","","","","","","No","Yes","No","Urban","30 - 44","Female","Prefer not to answer","Pacific",1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4337774090,"Yes","Turkey","Baked","Bread-based","None","Yes","","","","Corn","","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","Vegetable salad","","Apple","","","","","","","","Pumpkin","","","","","","","","","","","Yes","No","No","Urban","30 - 44","Male","$75,000 to $99,999","Pacific",1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4337772882,"Yes","Other (please specify)","Other (please specify)","None","Homemade","Yes","","","","","","","","","Mashed potatoes","Rolls/biscuits","Squash","Vegetable salad","","","","","","","","","","Pumpkin","","","","","","","","","","","No","No","No","Urban","30 - 44","Female","$25,000 to $49,999","Pacific",1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4337772493,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30 - 44","Male","Prefer not to answer","West South Central",0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4337772193,"Yes","Turkey","Baked","None","Homemade","Yes","Brussel sprouts","","","Corn","Cornbread","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","Vegetable salad","Yams/sweet potato casserole","Apple","","","","","","Peach","","Pumpkin","","Apple cobbler","","Brownies","","","Cookies","","","Peach cobbler","No","No","Yes","Urban","18 - 29","Male","Prefer not to answer","Pacific",1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
4337771439,"Yes","Tofurkey","Baked","Bread-based","Homemade","Yes","Brussel sprouts","Carrots","","Corn","Cornbread","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","Squash","Vegetable salad","Yams/sweet potato casserole","","","","","","","","","Pumpkin","","Apple cobbler","","","","","","","","","No","No","No","Suburban","30 - 44","Male","$50,000 to $74,999","Middle Atlantic",1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4337763296,"Yes","Turkey","Baked","Bread-based","None","Yes","","","","","","","Green beans/green bean casserole","Macaroni and cheese","","Rolls/biscuits","","","Yams/sweet potato casserole","Apple","","","Chocolate","","","","Pecan","","","","","","","","","","","Peach cobbler","Yes","No","Yes","Urban","30 - 44","Male","$25,000 to $49,999","South Atlantic",1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4337759901,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30 - 44","Male","$25,000 to $49,999","New England",0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4337758789,"Yes","Turkey","Roasted","Bread-based","None","Yes","","","","","","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","","Yams/sweet potato casserole","","","","","","","","Pecan","Pumpkin","","","","","","","","","","","Yes","Yes","No","Urban","30 - 44","Male","$50,000 to $74,999","East South Central",1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4337747968,"Yes","Turkey","I don't know","Bread-based","Homemade","Yes","","Carrots","Cauliflower","Corn","Cornbread","","Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","Rolls/biscuits","Squash","Vegetable salad","Yams/sweet potato casserole","Apple","","","Chocolate","Coconut cream","Key lime","","Pecan","Pumpkin","Sweet Potato","","Blondies","Brownies","Carrot cake","Cheesecake","Cookies","Fudge","Ice cream","Peach cobbler","No","No","No","Suburban","18 - 29","Male","Prefer not to answer","New England",1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1
4337743121,"Yes","Turkey","Baked","Bread-based","Canned","Yes","Brussel sprouts","","","Corn","","","","Macaroni and cheese","Mashed potatoes","Rolls/biscuits","","","","Apple","","","","Coconut cream","","","Pecan","Pumpkin","Sweet Potato","Apple cobbler","","","","Cheesecake","","","","Peach cobbler","Yes","No","No","Suburban","18 - 29","Male","$25,000 to $49,999","Pacific",1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1
4337732348,"Yes","Ham/Pork","Roasted","Bread-based","Homemade","Yes","","Carrots","","Corn","Cornbread","","","","Mashed potatoes","Rolls/biscuits","Squash","","Yams/sweet potato casserole","Apple","","","Chocolate","","","Peach","","Pumpkin","","Apple cobbler","","Brownies","","","","","Ice cream","Peach cobbler","Yes","No","No","Rural","18 - 29","Male","$200,000 and up","West South Central",1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1
4337731242,"Yes","Turkey","Baked","Bread-based","None","Yes","","Carrots","","","Cornbread","Fruit salad","","","","","","","","","Buttermilk","","","","","","Pecan","","","","","","","","Cookies","","","Peach cobbler","Yes","No","No","Urban","18 - 29","Male","$200,000 and up","West North Central",1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
4337725725,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18 - 29","Male","$0 to $9,999","West South Central",0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4337719588,"Yes","Turkey","Baked","Bread-based","Homemade","Yes","","","","Corn","","","Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","","Squash","","Yams/sweet potato casserole","","","","Chocolate","","","","Pecan","Pumpkin","","","","","","","Cookies","","","","Yes","No","No","Suburban","30 - 44","Male","$75,000 to $99,999","Middle Atlantic",1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
4337698969,"Yes","Turkey","Baked","Bread-based","Canned","Yes","","","","","","","","","Mashed potatoes","Rolls/biscuits","","","Yams/sweet potato casserole","","","","","","","","","Pumpkin","","","","","","","","","Ice cream","","Yes","No","No","Suburban","30 - 44","Male","Prefer not to answer","Mountain",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4337698743,"Yes","Turkey","Baked","Bread-based","Homemade","Yes","","","Cauliflower","Corn","","","Green beans/green bean casserole","","","Rolls/biscuits","","","Yams/sweet potato casserole","Apple","","","","","","","","Pumpkin","Sweet Potato","","","","","Cheesecake","Cookies","","Ice cream","","Yes","No","No","Rural","18 - 29","Male","$50,000 to $74,999","Middle Atlantic",1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
4337693643,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30 - 44","Male","$25,000 to $49,999","South Atlantic",0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4337660047,"Yes","Turkey","Baked","None","Homemade","Yes","","Carrots","Cauliflower","Corn","Cornbread","Fruit salad","Green beans/green bean casserole","Macaroni and cheese","Mashed potatoes","Rolls/biscuits","","Vegetable salad","Yams/sweet potato casserole","Apple","","Cherry","","","","","Pecan","Pumpkin","Sweet Potato","Apple cobbler","","","","Cheesecake","Cookies","Fudge","","Peach cobbler","Yes","Yes","No","Suburban","18 - 29","Male","$10,000 to $24,999","Pacific",1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1
4337655425,"Yes","Turkey","Baked","Bread-based","None","Yes","","","","","Cornbread","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","","","","","","","","","","","Pumpkin","","","","","","","","","","","Yes","Yes","No","Rural","18 - 29","Male","$25,000 to $49,999","West North Central",1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4337653684,"Yes","Turkey","Baked","Bread-based","Canned","No","Brussel sprouts","","","","Cornbread","Fruit salad","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","Vegetable salad","","","","","","","","","Pecan","Pumpkin","","Apple cobbler","","","","","","","","","No","Yes","Yes","Urban","18 - 29","Female","$25,000 to $49,999","Pacific",1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
4337646565,"Yes","Turkey","Baked","Bread-based","None","Yes","Brussel sprouts","","","","","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","","","","","","","","","","","Pumpkin","","","","","Carrot cake","","Cookies","","Ice cream","","Yes","No","Yes","Suburban","30 - 44","Male","$75,000 to $99,999","South Atlantic",1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
4337645621,"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30 - 44","Male","$150,000 to $174,999","Middle Atlantic",0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4337629524,"Yes","Turkey","Fried","Bread-based","None","Yes","","","","Corn","","","Green beans/green bean casserole","","Mashed potatoes","","","","Yams/sweet potato casserole","","","","","","","","Pecan","Pumpkin","","Apple cobbler","","","","","","","","Peach cobbler","Yes","No","No","Rural","45 - 59","Male","$75,000 to $99,999","West South Central",1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
4337627331,"Yes","Turkey","Roasted","Bread-based","Homemade","Yes","Brussel sprouts","","","","","","","","Mashed potatoes","","","","Yams/sweet potato casserole","Apple","","","","","","","","Pumpkin","","","","","","","","","","","Yes","No","No","Suburban","45 - 59","Male","$200,000 and up","Middle Atlantic",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4337626849,"Yes","Turkey","Baked","Bread-based","Canned","Yes","","Carrots","","","","","Green beans/green bean casserole","","","Rolls/biscuits","","","Yams/sweet potato casserole","","","","Chocolate","","","","Pecan","Pumpkin","Sweet Potato","Apple cobbler","","Brownies","Carrot cake","","Cookies","","","Peach cobbler","Yes","Yes","No","Rural","45 - 59","Male","$10,000 to $24,999","East South Central",1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1
4337611941,"Yes","Turkey","Fried","Bread-based","Homemade","Yes","","","","Corn","","Fruit salad","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","","Yams/sweet potato casserole","","","","","","","","Pecan","Pumpkin","","","","","","","Cookies","","","","No","No","Yes","Rural","18 - 29","Male","$50,000 to $74,999","West North Central",1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
4337600726,"Yes","Other (please specify)","Roasted","None","None","No","","Carrots","","Corn","","","Green beans/green bean casserole","","Mashed potatoes","Rolls/biscuits","","Vegetable salad","","Apple","","","","","","","","Pumpkin","","","","","","","","","","","No","No","No","Rural","45 - 59","Male","$100,000 to $124,999","West South Central",1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
